Date,PAYEMS,JTSJOL,CPIAUCSL,DGORDER,HSN1F,RSAFS,UNRATE,HOUST,INDPRO,PPIFIS,DSPIC96,BOPTEXP,BOPTIMP,WHLSLRIMSA,TTLCONS,IR,CPILFESL,PCEPILFE,PCEPI,PERMIT,TCU,BUSINV,IQ,GACDISA066MSFRBNY,PCEC96,GACDFSA066MSFRBPHI,GDPC1,ULCNFB,A261RX1Q020SBEA
1985-01-01,96373.0,,105.7,,645.0,,7.3,1711.0,56.6447,,5433.6,,,,,,107.1,55.854,55.732,1660.0,79.9,,,,,5.5,,,
1985-02-01,96497.0,,106.3,,682.0,,7.2,1632.0,56.8492,,5384.1,,,,,,107.7,56.153,55.998,1662.0,80.0,,,,,10.9,,,
1985-03-01,96843.0,,106.8,,671.0,,7.2,1800.0,56.9349,,5358.6,,,,,75.5,108.1,56.358,56.224,1727.0,79.9,,84.0,,,31.0,7469.5,65.64,7407.5
1985-04-01,97039.0,,107.0,,620.0,,7.3,1821.0,56.7821,,5450.3,,,,,,108.4,56.431,56.31,1664.0,79.5,,,,,10.0,,,
1985-05-01,97313.0,,107.2,,678.0,,7.2,1680.0,56.8643,,5578.0,,,,,,108.8,56.633,56.45,1709.0,79.4,,,,,8.0,,,
1985-06-01,97459.0,,107.5,,722.0,,7.4,1676.0,56.9021,,5459.2,,,,,75.8,109.1,56.827,56.609,1716.0,79.3,,84.4,,,-2.4,7537.9,66.037,7461.5
1985-07-01,97649.0,,107.7,,766.0,,7.4,1684.0,56.5347,,5472.0,,,,,,109.4,56.995,56.749,1697.0,78.6,,,,,11.5,,,
1985-08-01,97842.0,,107.9,,726.0,,7.1,1743.0,56.7647,,5468.0,,,,,,109.8,57.274,56.938,1808.0,78.7,,,,,6.9,,,
1985-09-01,98045.0,,108.1,,678.0,,7.1,1676.0,57.0097,,5492.3,,,,,76.0,110.0,57.39,57.032,1916.0,78.9,,83.7,,,2.3,7655.2,66.179,7552.9
1985-10-01,98233.0,,108.5,,655.0,,7.1,1834.0,56.7733,,5520.8,,,,,,110.5,57.479,57.124,1743.0,78.5,,,,,6.2,,,
1985-11-01,98442.0,,109.0,,733.0,,7.0,1698.0,56.9625,,5533.2,,,,,,111.1,57.615,57.286,1692.0,78.6,,,,,19.7,,,
1985-12-01,98609.0,,109.5,,721.0,,7.0,1942.0,57.5636,,5567.2,,,,,77.8,111.4,57.773,57.479,1794.0,79.3,,83.8,,,13.5,7712.6,67.149,7595.7
1986-01-01,98734.0,,109.9,,733.0,,6.7,1972.0,57.8223,,5571.0,,,,,,111.9,58.089,57.748,1847.0,79.6,,,,,22.4,,,
1986-02-01,98841.0,,109.7,,728.0,,7.2,1848.0,57.4367,,5599.9,,,,,,112.2,58.241,57.75,1767.0,78.9,,,,,19.8,,,
1986-03-01,98935.0,,109.1,,880.0,,7.2,1876.0,57.0389,,5657.3,,,,,75.0,112.5,58.415,57.622,1780.0,78.3,,83.6,,,14.0,7784.1,67.346,7673.0
1986-04-01,99122.0,,108.7,,857.0,,7.1,1933.0,57.0948,,5680.0,,,,,,112.9,58.514,57.5,1858.0,78.3,,,,,3.2,,,
1986-05-01,99249.0,,109.0,,789.0,,7.2,1854.0,57.2011,,5687.3,,,,,,113.1,58.609,57.601,1797.0,78.4,,,,,1.9,,,
1986-06-01,99155.0,,109.4,,728.0,,7.2,1847.0,57.0118,,5684.5,,,,,75.1,113.4,58.78,57.81,1790.0,78.1,,83.3,,,2.8,7819.8,67.557,7693.4
1986-07-01,99473.0,,109.5,,698.0,,7.0,1782.0,57.3217,,5715.9,,,,,,113.8,58.882,57.822,1780.0,78.4,,,,,11.8,,,
1986-08-01,99587.0,,109.6,,621.0,,6.9,1807.0,57.2544,,5725.3,,,,,,114.2,58.998,57.891,1726.0,78.2,,,,,6.8,,,
1986-09-01,99934.0,,110.0,,763.0,,7.0,1687.0,57.371,,5731.3,,,,,76.9,114.6,59.188,58.077,1686.0,78.3,,82.4,,,10.6,7898.6,68.063,7744.5
1986-10-01,100120.0,,110.2,,669.0,,7.0,1681.0,57.6276,,5727.9,,,,,,115.0,59.386,58.18,1675.0,78.6,,,,,9.1,,,
1986-11-01,100306.0,,110.4,,707.0,,6.9,1623.0,57.9,,5732.3,,,,,,115.3,59.511,58.283,1644.0,78.8,,,,,16.4,,,
1986-12-01,100511.0,,110.8,,784.0,,6.6,1833.0,58.3863,,5742.9,,,,,77.7,115.6,59.588,58.361,1903.0,79.4,,83.3,,,22.8,7939.5,69.133,7805.6
1987-01-01,100683.0,,111.4,,709.0,,6.6,1774.0,58.2024,,5759.2,,,,,,115.9,59.722,58.628,1690.0,79.0,,,,,5.8,,,
1987-02-01,100915.0,,111.8,,732.0,,6.6,1784.0,58.9506,,5789.9,,,,,,116.2,59.848,58.838,1689.0,79.8,,,,,9.3,,,
1987-03-01,101164.0,,112.2,,713.0,,6.6,1726.0,59.0498,,5796.1,,,,,80.8,116.6,60.028,58.997,1704.0,79.8,,84.3,,,5.6,7995.0,69.823,7884.2
1987-04-01,101502.0,,112.7,,735.0,,6.3,1614.0,59.4256,,5577.4,,,,,,117.3,60.273,59.209,1601.0,80.2,,,,,14.2,,,
1987-05-01,101728.0,,113.0,,651.0,,6.3,1628.0,59.802,,5803.3,,,,,,117.7,60.438,59.356,1500.0,80.5,,,,,19.7,,,
1987-06-01,101900.0,,113.5,,637.0,,6.2,1594.0,60.086,,5795.4,,,,,83.6,117.9,60.599,59.576,1522.0,80.7,,86.0,,,13.0,8084.7,69.824,8009.4
1987-07-01,102247.0,,113.8,,658.0,,6.1,1575.0,60.4962,,5812.7,,,,,,118.3,60.756,59.713,1516.0,81.1,,,,,15.5,,,
1987-08-01,102418.0,,114.3,,657.0,,6.0,1605.0,60.9931,,5837.8,,,,,,118.7,60.958,59.948,1511.0,81.7,,,,,30.1,,,
1987-09-01,102646.0,,114.7,,666.0,,5.9,1695.0,61.1611,,5838.2,,,,,84.3,119.2,61.202,60.151,1514.0,81.8,,86.6,,,26.3,8158.0,70.537,8129.2
1987-10-01,103138.0,,115.0,,650.0,,6.0,1515.0,62.0403,,5874.9,,,,,,119.8,61.47,60.348,1447.0,82.8,,,,,27.2,,,
1987-11-01,103370.0,,115.4,,625.0,,5.8,1656.0,62.3758,,5897.1,,,,,,120.1,61.602,60.465,1457.0,83.1,,,,,11.8,,,
1987-12-01,103664.0,,115.6,,595.0,,5.7,1400.0,62.6829,,5950.6,,,,,85.5,120.4,61.73,60.576,1345.0,83.5,,88.3,,,29.9,8292.7,70.779,8236.0
1988-01-01,103758.0,,116.0,,585.0,,5.7,1271.0,62.7075,,5963.8,,,,,,120.9,62.014,60.805,1244.0,83.4,,,,,3.5,,,
1988-02-01,104211.0,,116.2,,663.0,,5.7,1473.0,62.9816,,5996.9,,,,,,121.2,62.139,60.893,1438.0,83.7,,,,,18.3,,,
1988-03-01,104487.0,,116.5,,669.0,,5.7,1532.0,63.1391,,6020.3,,,,,86.5,121.7,62.404,61.103,1525.0,83.9,,89.8,,,12.8,8339.3,71.773,8335.5
1988-04-01,104732.0,,117.2,,699.0,,5.4,1573.0,63.4832,,6041.6,,,,,,122.3,62.709,61.401,1429.0,84.3,,,,,26.8,,,
1988-05-01,104961.0,,117.5,,684.0,,5.6,1421.0,63.4184,,6050.4,,,,,,122.7,62.923,61.58,1444.0,84.2,,,,,17.8,,,
1988-06-01,105324.0,,118.0,,717.0,,5.4,1478.0,63.5827,,6073.7,,,,,88.8,123.2,63.187,61.841,1485.0,84.4,,92.2,,,17.4,8449.5,72.42,8432.7
1988-07-01,105546.0,,118.5,,679.0,,5.4,1467.0,63.6223,,6098.4,,,,,,123.6,63.446,62.142,1439.0,84.4,,,,,23.7,,,
1988-08-01,105670.0,,119.0,,688.0,,5.6,1493.0,63.8851,,6116.7,,,,,,124.0,63.603,62.325,1460.0,84.7,,,,,15.2,,,
1988-09-01,106009.0,,119.5,,703.0,,5.4,1492.0,63.704,,6125.6,,,,,87.6,124.7,63.945,62.63,1436.0,84.4,,94.1,,,25.6,8498.3,73.074,8507.6
1988-10-01,106277.0,,119.9,,718.0,,5.4,1522.0,64.022,,6159.5,,,,,,125.2,64.184,62.831,1516.0,84.8,,,,,27.2,,,
1988-11-01,106616.0,,120.3,,628.0,,5.3,1569.0,64.1173,,6162.0,,,,,,125.6,64.358,62.975,1508.0,84.8,,,,,27.2,,,
1988-12-01,106906.0,,120.7,,658.0,,5.3,1563.0,64.421,,6196.4,,,,,89.3,126.0,64.563,63.165,1501.0,85.1,,93.8,,,22.7,8610.9,73.321,8625.0
1989-01-01,107168.0,,121.2,,719.0,,5.4,1621.0,64.6158,,6224.8,,,,,91.1,126.5,64.881,63.482,1466.0,85.3,,94.9,,,28.2,,,
1989-02-01,107426.0,,121.6,,622.0,,5.2,1425.0,64.3268,,6244.7,,,,,90.6,126.9,65.037,63.686,1383.0,84.8,,94.6,,,20.1,,,
1989-03-01,107619.0,,122.2,,567.0,,5.0,1422.0,64.4548,,6276.6,,,,,91.3,127.4,65.227,63.919,1214.0,84.8,,95.2,,,17.9,8697.7,73.704,8681.7
1989-04-01,107792.0,,123.1,,608.0,,5.2,1339.0,64.527,,6244.0,,,,,92.0,127.8,65.442,64.341,1376.0,84.7,,95.0,,,4.1,,,
1989-05-01,107910.0,,123.7,,656.0,,5.2,1331.0,64.0662,,6215.1,,,,,92.6,128.3,65.637,64.575,1381.0,84.0,,95.4,,,-10.2,,,
1989-06-01,108026.0,,124.1,,642.0,,5.3,1397.0,64.0963,,6232.2,,,,,91.5,128.8,65.806,64.713,1322.0,83.8,,95.2,,,-7.6,8766.1,73.699,8664.6
1989-07-01,108066.0,,124.5,,731.0,,5.2,1427.0,63.531,,6256.9,,,,,90.5,129.2,65.967,64.86,1283.0,82.9,,94.7,,,-16.9,,,
1989-08-01,108115.0,,124.5,,697.0,,5.2,1332.0,64.0964,,6272.6,,,,,90.0,129.5,66.055,64.864,1334.0,83.5,,94.0,,,-9.5,,,
1989-09-01,108365.0,,124.8,,639.0,,5.3,1279.0,63.8684,,6289.0,,,,,90.4,129.9,66.28,65.006,1314.0,83.0,,94.4,,,-5.4,8831.5,73.966,8697.8
1989-10-01,108476.0,,125.4,,645.0,,5.3,1410.0,63.8287,,6318.1,,,,,90.9,130.6,66.521,65.261,1365.0,82.7,,94.6,,,-7.0,,,
1989-11-01,108753.0,,125.9,,684.0,,5.4,1351.0,64.044,,6325.1,,,,,91.1,131.1,66.696,65.401,1344.0,82.8,,94.2,,,-4.2,,,
1989-12-01,108849.0,,126.3,,630.0,,5.4,1251.0,64.4375,,6326.7,,,,,91.6,131.6,66.884,65.589,1422.0,83.1,,94.4,,,-2.1,8850.2,74.958,8704.5
1990-01-01,109184.0,,127.5,,620.0,,5.4,1551.0,64.001,,6366.2,,,,,92.5,132.1,67.132,66.077,1748.0,82.4,,95.2,,,-7.5,,,
1990-02-01,109433.0,,128.0,,591.0,,5.3,1437.0,64.6509,,6382.0,,,,,92.7,132.7,67.453,66.365,1329.0,83.0,,94.6,,,-22.1,,,
1990-03-01,109647.0,,128.6,,574.0,,5.2,1289.0,64.9757,,6381.0,,,,,92.4,133.5,67.769,66.608,1246.0,83.2,,94.8,,,-21.8,8947.1,75.85,8795.4
1990-04-01,109687.0,,128.9,,542.0,,5.4,1248.0,64.8976,,6419.2,,,,,91.6,134.0,67.976,66.752,1136.0,83.0,,95.1,,,-9.0,,,
1990-05-01,109838.0,,129.1,,534.0,,5.4,1212.0,65.0068,,6405.2,,,,,91.2,134.4,68.176,66.896,1067.0,82.9,,95.3,,,-16.5,,,
1990-06-01,109862.0,,129.9,,545.0,,5.2,1177.0,65.2286,,6419.4,,,,,90.8,135.1,68.439,67.191,1108.0,83.0,,95.1,,,-8.6,8981.7,76.732,8845.3
1990-07-01,109830.0,,130.5,,542.0,,5.5,1171.0,65.1543,,6442.5,,,,,90.5,135.8,68.602,67.348,1078.0,82.8,,95.3,,,-18.1,,,
1990-08-01,109614.0,,131.6,,528.0,,5.7,1115.0,65.3528,,6404.7,,,,,93.3,136.6,68.889,67.797,1069.0,82.9,,95.4,,,-18.2,,,
1990-09-01,109525.0,,132.5,,496.0,,5.9,1110.0,65.4459,,6404.0,,,,,96.5,137.1,69.133,68.215,976.0,82.9,,95.8,,,-43.4,8983.9,77.492,8837.0
1990-10-01,109366.0,,133.4,,465.0,,5.9,1014.0,64.945,,6353.2,,,,,99.3,137.6,69.364,68.602,925.0,82.1,,96.6,,,-48.2,,,
1990-11-01,109216.0,,133.7,,493.0,,6.2,1145.0,64.1877,,6354.9,,,,,98.7,138.0,69.443,68.685,941.0,81.1,,96.7,,,-27.1,,,
1990-12-01,109160.0,,134.2,,464.0,,6.3,969.0,63.7612,,6390.3,,,,,98.4,138.6,69.53,68.741,861.0,80.4,,96.3,,,-37.1,8907.4,78.771,8794.8
1991-01-01,109040.0,,134.7,,401.0,,6.4,798.0,63.4795,,6369.3,,,,,97.0,139.5,69.869,68.996,786.0,80.0,,96.8,,,-32.0,,,
1991-02-01,108735.0,,134.8,,482.0,,6.6,965.0,63.049,,6379.4,,,,,95.0,140.2,70.049,69.021,853.0,79.3,,96.7,,,-22.2,,,
1991-03-01,108577.0,,134.8,,507.0,,6.8,921.0,62.7082,,6390.6,,,,,95.0,140.5,70.19,69.032,911.0,78.8,,96.4,,,-11.6,8865.6,79.133,8783.3
1991-04-01,108366.0,,135.1,,508.0,,6.7,1001.0,62.8463,,6412.7,,,,,94.2,140.9,70.326,69.154,916.0,78.9,,96.6,,,-6.5,,,
1991-05-01,108241.0,,135.6,,517.0,,6.9,996.0,63.4638,,6412.9,,,,,94.0,141.3,70.607,69.44,991.0,79.6,,96.4,,,3.9,,,
1991-06-01,108338.0,,136.0,,516.0,,6.9,1036.0,64.0488,,6445.9,,,,,93.4,141.8,70.758,69.557,964.0,80.2,,96.1,,,13.0,8934.4,79.312,8806.3
1991-07-01,108298.0,,136.2,,511.0,,6.8,1063.0,64.1013,,6432.8,,,,,92.8,142.3,70.973,69.667,973.0,80.2,,95.7,,,19.9,,,
1991-08-01,108308.0,,136.6,,526.0,,6.9,1049.0,64.1515,,6445.0,,,,,93.1,142.9,71.166,69.827,944.0,80.2,,96.0,,,27.0,,,
1991-09-01,108340.0,,137.0,,487.0,,6.9,1015.0,64.7177,,6463.7,,,,,93.3,143.4,71.449,70.067,974.0,80.8,,95.6,,,20.0,8977.3,79.67,8829.6
1991-10-01,108357.0,,137.2,,524.0,,7.0,1079.0,64.6012,,6474.0,,,,,94.1,143.7,71.605,70.197,991.0,80.5,,96.6,,,9.5,,,
1991-11-01,108299.0,,137.8,,575.0,,7.0,1103.0,64.5274,,6486.7,,,,,94.5,144.2,71.736,70.348,984.0,80.3,,96.7,,,1.3,,,
1991-12-01,108325.0,,138.2,,558.0,,7.3,1079.0,64.2613,,6546.2,,,,,94.3,144.7,71.907,70.52,1061.0,79.9,,95.7,,,-18.8,9016.4,80.22,8862.7
1992-01-01,108377.0,,138.3,,676.0,164083.0,7.3,1176.0,63.8916,,6616.3,50251.0,52277.0,188403.0,,94.0,145.1,72.099,70.613,1077.0,79.2,808281.0,95.7,,,-2.2,,,
1992-02-01,108314.0,,138.6,114535.0,639.0,164260.0,7.4,1250.0,64.3381,,6649.9,51682.0,52513.0,189335.0,,94.0,145.4,72.292,70.789,1146.0,79.6,809588.0,96.3,,,0.6,,,
1992-03-01,108368.0,,139.1,120025.0,553.0,163747.0,7.4,1297.0,64.902,,6659.6,50294.0,52935.0,190547.0,,93.9,145.9,72.473,70.962,1082.0,80.2,812709.0,96.2,,,15.0,9123.0,80.71,9017.6
1992-04-01,108527.0,,139.4,124470.0,546.0,164759.0,7.4,1099.0,65.3746,,6679.4,50302.0,53411.0,189951.0,,93.6,146.3,72.71,71.153,1054.0,80.6,815477.0,96.4,,,20.0,,,
1992-05-01,108653.0,,139.7,125822.0,554.0,165617.0,7.6,1214.0,65.5902,,6712.9,50044.0,53963.0,189115.0,,94.0,146.8,72.813,71.248,1056.0,80.7,815010.0,96.7,,,17.0,,,
1992-06-01,108721.0,,140.1,122834.0,596.0,166098.0,7.8,1145.0,65.6132,,6741.7,51727.0,54551.0,192831.0,,94.8,147.1,72.869,71.374,1057.0,80.5,820470.0,96.5,,,15.0,9223.5,80.774,9091.2
1992-07-01,108792.0,,140.5,122590.0,627.0,167305.0,7.7,1139.0,66.1891,,6736.8,52533.0,55313.0,191989.0,,95.3,147.6,73.144,71.609,1089.0,81.1,825008.0,96.6,,,27.5,,,
1992-08-01,108930.0,,140.8,120411.0,636.0,167797.0,7.6,1226.0,65.8651,,6759.6,50940.0,55395.0,192602.0,,95.7,147.9,73.21,71.704,1075.0,80.5,826136.0,96.3,,,16.7,,,
1992-09-01,108966.0,,141.1,120711.0,650.0,169407.0,7.6,1186.0,66.0268,,6725.8,51984.0,55515.0,193344.0,,95.9,148.1,73.331,71.823,1114.0,80.5,827501.0,96.6,,,21.0,9313.2,80.985,9120.1
1992-10-01,109148.0,,141.7,127392.0,621.0,170681.0,7.3,1244.0,66.511,,6682.5,53035.0,56556.0,193625.0,,96.6,148.8,73.615,72.078,1132.0,81.0,827915.0,96.3,,,-4.8,,,
1992-11-01,109284.0,,142.1,122374.0,614.0,171025.0,7.4,1214.0,66.8027,,6685.9,52246.0,56214.0,195300.0,,96.0,149.2,73.779,72.223,1118.0,81.2,829834.0,96.2,,,18.2,,,
1992-12-01,109496.0,,142.3,126080.0,650.0,172995.0,7.4,1227.0,66.8587,,6922.8,51843.0,57446.0,196914.0,,94.4,149.6,73.917,72.35,1176.0,81.1,835800.0,96.3,,,25.4,9406.5,81.068,9209.7
